genesymbol,canonical_marker,cell_type,germ_layer,human,human_sensitivity,human_specificity,mouse,mouse_sensitivity,mouse_specificity,ncbi_tax_id,organ,ubiquitiousness
EGFR,True,Gastric chief cells,Endoderm,True,0.0,0.0222431,True,0.0,0.0127687,9606,GI tract,0.014
EGFR,True,Myoblasts,Mesoderm,True,0.0,0.0222431,True,0.285714,0.0125233,9606,Skeletal muscle,0.014
FGF10,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.000626566,True,0.0,0.00173244,9606,Connective tissue,0.001
MMP3,True,Fibroblasts,Mesoderm,True,0.00900901,0.00194742,True,0.0859729,0.000594334,9606,Connective tissue,0.003
PPARG,True,Macrophages,Mesoderm,True,0.0833333,0.0106918,True,0.0040404,0.00463883,9606,Immune system,0.006
PPARG,True,Enterocytes,Endoderm,True,0.666667,0.00973007,True,0.0298013,0.00412223,9606,GI tract,0.006
PPARG,True,Melanocytes,Mesoderm,True,0.0,0.0109649,True,0.0,0.00462339,9606,Skin,0.006
PPARG,True,T helper cells,Mesoderm,True,0.0,0.0109649,True,0.0,0.00461983,9606,Immune system,0.006
PPARG,True,Megakaryocytes,Mesoderm,True,0.0,0.0109649,True,0.0,0.00461983,9606,Immune system,0.006
PPARG,True,Adipocytes,Mesoderm,True,0.0,0.010989,True,0.375,0.00442961,9606,Connective tissue,0.006
TWIST2,True,Fibroblasts,Mesoderm,True,0.162162,0.00129828,True,0.0,0.0,9606,Connective tissue,0.012
GATA3,True,Natural killer T cells,Mesoderm,True,0.0,0.0200501,True,0.0,0.0297722,9606,Immune system,0.03
GATA3,True,Nuocytes,Mesoderm,True,0.0,0.0200501,True,1.0,0.027901,9606,Immune system,0.03
GATA3,True,T helper cells,Mesoderm,True,0.0,0.0200501,True,0.0,0.0297722,9606,Immune system,0.03
GATA3,True,Principal cells,Mesoderm,True,0.0,0.0200501,True,1.0,0.0293362,9606,Kidney,0.03
GATA3,True,Mesangial cells,Mesoderm,True,1.0,0.0194357,True,0.0,0.0297722,9606,Kidney,0.03
GATA3,True,Hematopoietic stem cells,Mesoderm,True,0.0,0.0200501,True,0.0,0.0298335,9606,Bone,0.03
SMO,True,Chondrocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.005
STAB1,True,Macrophages,Mesoderm,True,0.0833333,0.00220126,True,0.0,0.0,9606,Immune system,0.018
STAB1,True,Endothelial cells,Mesoderm,True,0.0288462,0.00161917,True,0.0,0.0,9606,Vasculature,0.018
CCN5,True,Osteoblasts,Mesoderm,True,0.0,0.00657895,True,0.0,0.0,9606,Bone,0.005
WT1,True,Sertoli cells,Mesoderm,True,0.0,0.0225564,True,0.0,0.0,9606,Reproductive,0.01
WT1,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.0225564,True,0.0,0.0,9606,Connective tissue,0.01
WT1,True,Podocytes,Mesoderm,True,1.0,0.0157729,True,0.0,0.0,9606,Kidney,0.01
WT1,True,Hepatocytes,Endoderm,True,0.0,0.0228209,True,0.0,0.0,9606,Liver,0.01
WT1,True,Neuroblasts,Ectoderm,True,0.0,0.0225564,True,0.0,0.0,9606,Brain,0.01
SCARA5,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.0115915,True,0.0,0.0,9606,Connective tissue,0.007
SCARA5,True,Fibroblasts,Mesoderm,True,0.297297,0.00129828,True,0.0,0.0,9606,Connective tissue,0.007
HOXC8,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.00313283,True,0.0,0.00532563,9606,Connective tissue,0.005
TCF7L1,True,Mast cells,Mesoderm,True,0.0,0.0084799,True,0.0,0.0,9606,Immune system,0.009
TCF7L1,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.00845865,True,0.0,0.0,9606,Connective tissue,0.009
HOXC9,True,Adipocytes,Mesoderm,True,0.714286,0.0144427,True,0.0,0.00494319,9606,Connective tissue,0.007
HOXC9,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.0159774,True,0.0,0.00494065,9606,Connective tissue,0.007
SULT1E1,True,Mammary epithelial cells,Mesoderm,True,0.0,0.00595611,True,0.0,0.0,9606,Mammary gland,0.002
SULT1E1,True,Leydig cells,Mesoderm,True,0.0,0.00595611,True,0.0,0.0,9606,Reproductive,0.002
EBF2,True,Adipocytes,Mesoderm,True,0.0,0.00125589,True,0.0,0.00706169,9606,Connective tissue,0.006
EBF2,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.00125313,True,0.0,0.00705807,9606,Connective tissue,0.006
NRG4,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.00156642,True,0.0,0.000320821,9606,Connective tissue,0.001
SLC36A2,True,Proximal tubule cells,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Kidney,0.003
SLC36A2,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.003
P2RX5,True,Osteoblasts,Mesoderm,True,0.0,0.0018797,True,0.0,0.0,9606,Bone,0.0
P2RX5,True,Plasma cells,Mesoderm,True,0.0,0.00190114,True,0.0,0.0,9606,Immune system,0.0
P2RX5,True,Adipocytes,Mesoderm,True,0.0,0.00188383,True,0.0,0.0,9606,Connective tissue,0.0
P2RX5,True,B cells naive,Mesoderm,True,0.0,0.00188857,True,0.0,0.0,9606,Immune system,0.0
P2RX5,True,B cells memory,Mesoderm,True,0.0,0.0018797,True,0.0,0.0,9606,Immune system,0.0
LEP,True,Gastric chief cells,Endoderm,True,0.0,0.0,True,0.0,0.0,9606,GI tract,0.0
LEP,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.0
UCP1,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.0
CIDEA,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.5,0.0046864,9606,Connective tissue,0.004
CIDEA,True,Thymocytes,Endoderm,True,0.0,0.0,True,0.0,0.00494065,9606,Thymus,0.004
PRDM16,True,Adipocytes,Mesoderm,True,0.0,0.00125589,True,0.0,0.000962958,9606,Connective tissue,0.001
LHX8,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.00154073,9606,Connective tissue,0.001
EPSTI1,True,Adipocytes,Mesoderm,True,0.0,0.0291994,True,0.0,0.0431405,9606,Connective tissue,0.041
MC2R,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.0
FFAR2,True,Sebocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0122554,9606,Skin,0.01
FFAR2,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.125,0.0121975,9606,Connective tissue,0.01
FFAR2,True,Beta cells,Endoderm,True,0.0,0.0,True,0.428571,0.0111304,9606,Pancreas,0.01
PIKFYVE,True,Adipocytes,Mesoderm,True,0.0,0.00345369,True,0.0,0.00295307,9606,Connective tissue,0.003
CYP11B2,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.0
TLR2,True,Müller cells,Ectoderm,True,0.0,0.00093985,True,0.0,0.0,9606,Eye,0.014
TLR2,True,Langerhans cells,Mesoderm,True,0.0,0.000952986,True,0.0,0.0,9606,Skin,0.014
TLR2,True,Hematopoietic stem cells,Mesoderm,True,0.0,0.00093985,True,0.0,0.0,9606,Bone,0.014
TLR2,True,Macrophages,Mesoderm,True,0.0,0.000943396,True,0.0,0.0,9606,Immune system,0.014
TLR2,True,Neutrophils,Mesoderm,True,0.0,0.000943693,True,0.0,0.0,9606,Immune system,0.014
TLR2,True,Adipocytes,Mesoderm,True,0.0,0.000941915,True,0.0,0.0,9606,Connective tissue,0.014
TLR4,True,Langerhans cells,Mesoderm,True,0.0,0.000317662,True,0.0,0.0,9606,Skin,0.0
TLR4,True,Macrophages,Mesoderm,True,0.0,0.000314465,True,0.0,0.0,9606,Immune system,0.0
TLR4,True,Monocytes,Mesoderm,True,0.0,0.000315856,True,0.0,0.0,9606,Immune system,0.0
TLR4,True,Osteoclast precursor cells,Mesoderm,True,0.0,0.000313283,True,0.0,0.0,9606,Bone,0.0
TLR4,True,Basophils,Mesoderm,True,0.0,0.000313283,True,0.0,0.0,9606,Immune system,0.0
TLR4,True,Satellite glial cells,Ectoderm,True,0.0,0.000313283,True,0.0,0.0,9606,Brain,0.0
TLR4,True,Adipocytes,Mesoderm,True,0.0,0.000313972,True,0.0,0.0,9606,Connective tissue,0.0
TLR4,True,Kupffer cells,Mesoderm,True,0.0,0.000313283,True,0.0,0.0,9606,Liver,0.0
TLR4,True,Platelets,Mesoderm,True,0.0,0.000313676,True,0.0,0.0,9606,Blood,0.0
ADRB1,True,Adipocytes,Mesoderm,True,0.0,0.0021978,True,0.0,0.0023753,9606,Connective tissue,0.002
ADRB1,True,Pinealocytes,Ectoderm,True,0.0,0.00219298,True,0.0,0.00237514,9606,Brain,0.002
ADRB2,True,Adipocytes,Mesoderm,True,0.0,0.0100471,True,0.0,0.0181678,9606,Connective tissue,0.016
ADRB2,True,Microglia,Ectoderm,True,0.0,0.0100251,True,0.152273,0.0142621,9606,Brain,0.016
ADRB2,True,Pyramidal cells,Ectoderm,True,0.0,0.0100251,True,0.0,0.0181597,9606,Brain,0.016
ADRB3,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.125,0.000577775,9606,Connective tissue,0.0
FABP4,True,Paneth cells,Endoderm,True,0.0,0.0103383,True,0.0,0.0334086,9606,GI tract,0.028
FABP4,True,Smooth muscle cells,Mesoderm,True,0.142857,0.00946074,True,0.206612,0.0318805,9606,Smooth muscle,0.028
FABP4,True,Macrophages,Mesoderm,True,0.0833333,0.0100629,True,0.0484848,0.0327369,9606,Immune system,0.028
FABP4,True,Endothelial cells,Mesoderm,True,0.0961538,0.00744819,True,0.273438,0.0207869,9606,Vasculature,0.028
FABP4,True,Adipocytes,Mesoderm,True,0.0,0.0103611,True,1.0,0.0327406,9606,Connective tissue,0.028
FABP4,True,Cardiomyocytes,Mesoderm,True,0.0,0.0103383,True,0.466667,0.031562,9606,Heart,0.028
FABP4,True,Dendritic cells,Mesoderm,True,0.0340136,0.0091954,True,0.0238095,0.0332626,9606,Immune system,0.028
FABP4,True,Loop of Henle cells,Mesoderm,True,0.0,0.0103416,True,0.0,0.0332371,9606,Kidney,0.028
FABP4,True,Fibroblasts,Mesoderm,True,0.018018,0.0100617,True,0.104072,0.0311695,9606,Connective tissue,0.028
TNFRSF9,True,Adipocytes,Mesoderm,True,0.0,0.00345369,True,0.0,0.0,9606,Connective tissue,0.003
TBX1,True,Endothelial cells,Mesoderm,True,0.0,0.000971503,True,0.0,0.0,9606,Vasculature,0.003
TBX1,True,Adipocytes,Mesoderm,True,0.0,0.000941915,True,0.0,0.0,9606,Connective tissue,0.003
TMEM26,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.002
TCF21,True,Fibroblasts,Mesoderm,True,0.0,0.00616683,True,0.0,0.0,9606,Connective tissue,0.014
TCF21,True,Adipocytes,Mesoderm,True,0.0,0.00596546,True,0.0,0.0,9606,Connective tissue,0.014
TCF21,True,Podocytes,Mesoderm,True,0.863636,0.0,True,0.0,0.0,9606,Kidney,0.014
TCF21,True,Smooth muscle cells,Mesoderm,True,0.0,0.0059918,True,0.0,0.0,9606,Smooth muscle,0.014
ADIPOQ,True,Cardiomyocytes,Mesoderm,True,0.0,0.0,True,0.0,0.00457327,9606,Heart,0.004
ADIPOQ,True,Paneth cells,Endoderm,True,0.0,0.0,True,0.0,0.00457917,9606,GI tract,0.004
ADIPOQ,True,Adipocytes,Mesoderm,True,0.0,0.0,True,1.0,0.00404442,9606,Connective tissue,0.004
CFD,True,Adipocytes,Mesoderm,True,0.0,0.0989011,True,0.75,0.000770367,9606,Connective tissue,0.018
CFD,True,Paneth cells,Endoderm,True,0.0,0.0986842,True,0.0,0.00116092,9606,GI tract,0.018
CFD,True,Leydig cells,Mesoderm,True,0.0,0.0987461,True,0.0,0.00115577,9606,Reproductive,0.018
ACVR1C,True,Adipocytes,Mesoderm,True,0.0,0.00282575,True,0.125,0.00147654,9606,Connective tissue,0.002
SLC2A4,True,Adipocytes,Mesoderm,True,0.0,0.00251177,True,0.0,0.0,9606,Connective tissue,0.001
SLC2A4,True,Oxyphil cells,Endoderm,True,0.0,0.00250627,True,0.0,0.0,9606,Parathyroid glands,0.001
SLC2A4,True,Podocytes,Mesoderm,True,0.0,0.00252366,True,0.0,0.0,9606,Kidney,0.001
LPIN1,True,Adipocytes,Mesoderm,True,0.0,0.0260597,True,0.125,0.0091802,9606,Connective tissue,0.012
PLIN1,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.5,0.000192592,9606,Connective tissue,0.0
PLIN1,True,Hepatocytes,Endoderm,True,0.0,0.0,True,0.0,0.000450306,9606,Liver,0.0
PCK1,True,Adipocytes,Mesoderm,True,0.0,0.0156986,True,0.5,0.00725429,9606,Connective tissue,0.008
PCK1,True,Proximal tubule cells,Mesoderm,True,1.0,0.0153557,True,0.9,0.0034805,9606,Kidney,0.008
PCK1,True,Hepatocytes,Endoderm,True,0.162162,0.0139461,True,0.65,0.00585397,9606,Liver,0.008
RETN,True,Adipocytes,Mesoderm,True,0.0,0.00533752,True,0.0,0.0,9606,Connective tissue,0.001
MEST,True,Tanycytes,Ectoderm,True,0.0,0.103697,True,0.047619,0.0206888,9606,Brain,0.039
MEST,True,Adipocytes,Mesoderm,True,0.0,0.103925,True,0.0,0.0207357,9606,Connective tissue,0.039
ADM2,True,Adipocytes,Mesoderm,True,0.142857,0.0,True,0.0,0.000128394,9606,Connective tissue,0.0
STAT6,True,Adipocytes,Mesoderm,True,0.714286,0.00659341,True,0.0,0.0,9606,Connective tissue,0.01
TFE3,True,Adipocytes,Mesoderm,True,0.714286,0.00345369,True,0.0,0.0,9606,Connective tissue,0.005
CPPED1,True,Adipocytes,Mesoderm,True,0.428571,0.010989,True,0.125,0.00731848,9606,Connective tissue,0.008
CAVIN1,True,Adipocytes,Mesoderm,True,1.0,0.129356,False,0.0,0.0,9606,Connective tissue,0.023
AGT,True,Adipocytes,Mesoderm,True,0.0,0.0160126,True,0.375,0.0212493,9606,Connective tissue,0.02
AGT,True,Astrocytes,Ectoderm,True,0.833333,0.0144382,True,0.622951,0.00942408,9606,Brain,0.02
SLC1A5,True,Adipocytes,Mesoderm,True,0.0,0.0464678,True,0.0,0.0,9606,Connective tissue,0.038
SLC1A5,True,Neutrophils,Mesoderm,True,0.0,0.0465555,True,0.0,0.0,9606,Immune system,0.038
ACSL1,True,Adipocytes,Mesoderm,True,0.0,0.0191523,True,0.375,0.0231752,9606,Connective tissue,0.022
ACSL1,True,Epsilon cells,Endoderm,True,0.0,0.0191103,True,0.0,0.0233558,9606,Pancreas,0.022
BCAT2,True,Adipocytes,Mesoderm,True,0.0,0.0144427,True,0.25,0.0202221,9606,Connective tissue,0.021
PNPLA2,True,Oligodendrocytes,Ectoderm,True,0.0,0.0161188,True,0.00268097,0.0216322,9606,Brain,0.02
PNPLA2,True,Adipocytes,Mesoderm,True,0.0,0.0160126,True,0.875,0.0202863,9606,Connective tissue,0.02
CIDEC,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.75,0.00218271,9606,Connective tissue,0.002
CDO1,True,Adipocytes,Mesoderm,True,0.0,0.0119309,True,0.5,0.0415998,9606,Connective tissue,0.036
CDO1,True,Oligodendrocyte progenitor cells,Ectoderm,True,0.0,0.0119309,True,0.556604,0.0347362,9606,Brain,0.036
APOC1,True,Adipocytes,Mesoderm,True,0.0,0.078179,True,0.75,0.0360146,9606,Connective tissue,0.047
MMP2,True,Fibroblasts,Mesoderm,True,0.666667,0.0460889,True,0.79638,0.0164432,9606,Connective tissue,0.045
MMP2,True,Adipocytes,Mesoderm,True,1.0,0.0656201,True,0.0,0.0385825,9606,Connective tissue,0.045
POSTN,True,Osteoblasts,Mesoderm,True,0.0,0.023183,True,0.486486,0.0336378,9606,Bone,0.033
POSTN,True,Fibroblasts,Mesoderm,True,0.171171,0.0178513,True,0.438914,0.0229149,9606,Connective tissue,0.033
POSTN,True,Adipocytes,Mesoderm,True,0.285714,0.022606,True,0.0,0.0347307,9606,Connective tissue,0.033
POSTN,True,Endothelial cells,Mesoderm,True,0.0384615,0.0226684,True,0.0299479,0.0349598,9606,Vasculature,0.033
LOX,True,Fibroblasts,Mesoderm,True,0.234234,0.00714054,True,0.348416,0.00719805,9606,Connective tissue,0.017
